yt_id,start_seconds,end_seconds,r_label
--gKfbzT1VY,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Outside, urban or manmade"
-0Eem_FuIto,15.0,25.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-0Hf2I8AFI8,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Toot,Truck,Vehicle,Traffic noise, roadway noise,Car"
-2sT5oBBWWY,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-35_gJSKJkk,10.0,20.0,"Fire engine, fire truck (siren),Truck,Vehicle"
-3oUmjZ4b9o,50.0,60.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-45cKZA7Jww,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Accelerating, revving, vroom,Truck,Vehicle,Speech,Medium engine (mid frequency)"
-4B435WQvag,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck"
-4Sby7Cij8w,120.0,130.0,"Fire engine, fire truck (siren),Speech,Child speech, kid speaking"
-4XAxg0q2tU,70.0,80.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-6qVAuzmscU,0.0,10.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-6qhtwdfGOA,23.0,33.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-72pUaj4jLE,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
-8K_V4VdkfM,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle,Speech"
-8uyNBFbdFc,40.0,50.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-DXUMMSmd-A,20.0,30.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Siren,Truck,Vehicle"
-HIPemUA6V4,220.0,230.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
-Jsu4dbuO4A,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-KsPTvgJJVE,350.0,360.0,"Fire engine, fire truck (siren),Police car (siren),Music,Speech"
-Nc_WkxjQuc,30.0,40.0,"Fire engine, fire truck (siren),Police car (siren)"
-OtwXXpRB5I,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-PRrNx6_MD0,16.0,26.0,"Fire engine, fire truck (siren),Truck,Vehicle"
-QBo1W2w8II,30.0,40.0,"Fire engine, fire truck (siren)"
-QX-ddNtUvE,24.0,34.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
-RlUu1el2G4,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
-SRUaM41sJI,180.0,190.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-SkO97C81Ms,30.0,40.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Vehicle,Heavy engine (low frequency)"
-T8QHPXfIC4,13.0,23.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Vehicle"
-USiTjZoh88,30.0,40.0,"Fire engine, fire truck (siren),Speech"
-X0vNLwH1C0,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-Z3ByS_RCwI,30.0,40.0,"Fire engine, fire truck (siren),Speech"
-cOjJ0Nvtlw,23.0,33.0,"Fire engine, fire truck (siren),Vehicle,Speech"
-cbYvBBXE6A,12.0,22.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech,Car"
-hA1yMrEXz0,10.0,20.0,"Ambulance (siren),Fire engine, fire truck (siren),Police car (siren),Speech"
-hplTh4SGvs,90.0,100.0,"Fire engine, fire truck (siren),Siren,Music,Speech"
-jCHiO0dPDw,0.0,10.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
-k6p9n9y22Q,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-kUnVTTuBQY,400.0,410.0,"Motor vehicle (road),Fire engine, fire truck (siren),Truck,Vehicle"
-nPhg6Eu4b4,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-npJ2J2xrJU,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
-oCvKmNbhl0,100.0,110.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
-pvaJ4DwtRg,3.0,13.0,"Fire engine, fire truck (siren),Engine,Emergency vehicle,Idling,Accelerating, revving, vroom,Vehicle,Medium engine (mid frequency)"
-qKRKDTbt4c,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
-q_H846XdLg,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-s407wi2EyM,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle"
-sJn3uUxpH8,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-sfn1NDHWJI,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-tNY52AGVWs,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-tWd3jMXGPo,30.0,40.0,"Fire engine, fire truck (siren)"
-tb1M-QeCjI,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-vE4AKVHgGY,0.0,9.0,"Fire engine, fire truck (siren),Vehicle,Car"
-vKtl3i6Ioc,150.0,160.0,"Fire engine, fire truck (siren),Music,Speech"
-vWpVrlwnvI,70.0,80.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
-wjMEQEpN9s,9.0,19.0,"Fire engine, fire truck (siren)"
-yGUWBenPKI,30.0,40.0,"Fire engine, fire truck (siren),Truck,Vehicle,Speech"
-zep41ugJvI,260.0,270.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
00H_s-krtg8,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
02-5FpksR4U,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
03ikEZjMYpg,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
0544zFBjNpI,0.0,10.0,"Fire engine, fire truck (siren),Emergency vehicle,Speech,Outside, urban or manmade"
06_z9D9PemI,30.0,40.0,"Fire engine, fire truck (siren),Car"
089a2UWj08U,10.0,20.0,"Motor vehicle (road),Fire engine, fire truck (siren),Truck,Vehicle,Speech,Traffic noise, roadway noise"
0BgTyDPgN0U,30.0,40.0,"Fire engine, fire truck (siren),Vehicle,Speech"
0CkBWdYw4us,21.0,31.0,"Fire engine, fire truck (siren)"
0DQf9PV9U2M,40.0,50.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
0DUjd7oRW20,0.0,8.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
0Dw2vN-ildM,11.0,21.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle"
0EfFEuQkzIM,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
0Etp5PgfyOU,40.0,50.0,"Fire engine, fire truck (siren)"
0FeuJL-r8m4,24.0,34.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech,Car"
0FqZ-wKg69I,20.0,30.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
0H_BS-FA-7E,30.0,40.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Traffic noise, roadway noise"
0I6Mlp27_gM,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren),Vehicle,Civil defense siren"
0IPF2trqbJQ,14.0,24.0,"Fire engine, fire truck (siren),Vehicle,Car"
0KUXbANy0M0,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
0KdKx63QmMk,120.0,130.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle,Speech"
0ML3norRr8o,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
0MPxeI2LAts,110.0,120.0,"Fire engine, fire truck (siren),Truck,Vehicle"
0NbD6uE39xo,260.0,270.0,"Fire engine, fire truck (siren),Music"
0R9xLmfL2ho,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
0SvSNVatkv0,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
0TDW_Zi0M9Q,0.0,10.0,"Fire engine, fire truck (siren),Emergency vehicle,Music,Outside, urban or manmade"
0UAUF4whi-A,30.0,40.0,"Fire engine, fire truck (siren),Engine,Truck,Vehicle,Medium engine (mid frequency)"
0UYyB5EqrDU,270.0,280.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
0WWGckXNRZs,8.0,18.0,"Fire engine, fire truck (siren),Emergency vehicle,Vehicle,Speech"
0XPvk1ZlkBc,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Vehicle"
0Y98tzWJkjw,140.0,150.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Police car (siren),Truck,Vehicle,Speech,Car"
0YXD5OGJPfc,0.0,8.0,"Fire engine, fire truck (siren),Siren,Sound effect"
0cOGkwEnSXM,40.0,50.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
0jJY7j7nLnA,310.0,320.0,"Fire engine, fire truck (siren),Emergency vehicle,Outside, urban or manmade"
0jd7Awisp2c,70.0,80.0,"Fire engine, fire truck (siren),Vehicle"
0loWR805Dl0,30.0,40.0,"Fire engine, fire truck (siren)"
0ojTL4MmXjQ,1.0,11.0,"Fire engine, fire truck (siren),Idling,Accelerating, revving, vroom,Truck,Vehicle,Speech"
0qTClRxN6mY,240.0,250.0,"Fire engine, fire truck (siren)"
0rIniMa2vdQ,28.0,38.0,"Fire engine, fire truck (siren)"
0rKDe5UNSlk,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren),Vehicle"
0sFFFbdQ-6Y,80.0,90.0,"Fire engine, fire truck (siren),Emergency vehicle,Traffic noise, roadway noise"
0xGdfGRJ_Is,22.0,32.0,"Fire engine, fire truck (siren)"
0z__GM9MpnA,50.0,60.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
1-sQzM732IM,30.0,40.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren"
10R2yQUbKzc,30.0,40.0,"Fire engine, fire truck (siren),Emergency vehicle,Truck,Vehicle"
12aXUfObwlY,0.0,10.0,"Motor vehicle (road),Fire engine, fire truck (siren),Emergency vehicle,Police car (siren),Truck,Vehicle"
166OA4wFvp8,6.0,16.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
17UFnrXpmDA,10.0,20.0,"Fire engine, fire truck (siren),Emergency vehicle,Siren"
18MlV2iO1cQ,110.0,120.0,"Ambulance (siren),Fire engine, fire truck (siren),Emergency vehicle,Siren,Police car (siren)"
